Adam;MALYSZ;POL;1977-12-03;169;60
Marcin;BACHLEDA;POL;1982-09-04;166;56
Robert;MATEJA;POL;1974-10-05;180;63
Alexander;HERR;GER;1978-10-04;173;65
Stephan;HOCKE;GER;1983-10-20;178;59
Martin;SCHMITT;GER;1978-01-29;181;64
Michael;UHRMANN;GER;1978-09-09;184;64
Georg;SPAETH;GER;1981-02-24;187;68
Matti;HAUTAMAEKI;FIN;1981-07-14;174;57
Tami;KIURU;FIN;1976-09-13;183;59
Janne;AHONEN;FIN;1977-05-11;184;67
Martin;HOELLWARTH;AUT;1974-04-13;182;67
Thomas;MORGENSTERN;AUT;1986-10-30;174;57
Tommy;INGEBRIGTSEN;NOR;1977-08-08;179;56
Bjoern-Einar;ROMOEREN;NOR;1981-04-01;182;63
Roar;LJOEKELSOEY;NOR;1976-05-31;175;62
Alan;ALBORN;USA;1980-12-13;177;57
